ADM0_NAME,flow_name,metric,value
Greece,Banana_irr_2030y_SOC,cf_median,76.37684
Greenland,Banana_irr_2030y_SOC,cf_median,
Grenada,Banana_irr_2030y_SOC,cf_median,76.05524
Guadeloupe,Banana_irr_2030y_SOC,cf_median,
Guam,Banana_irr_2030y_SOC,cf_median,
Guatemala,Banana_irr_2030y_SOC,cf_median,48.744316
Guernsey,Banana_irr_2030y_SOC,cf_median,
Guinea,Banana_irr_2030y_SOC,cf_median,26.76429
Guinea-Bissau,Banana_irr_2030y_SOC,cf_median,20.59581
Guyana,Banana_irr_2030y_SOC,cf_median,31.467344
Haiti,Banana_irr_2030y_SOC,cf_median,37.511726
Hala'ib triangle,Banana_irr_2030y_SOC,cf_median,13.985406
Heard Island and McDonald Islands,Banana_irr_2030y_SOC,cf_median,
Holy See,Banana_irr_2030y_SOC,cf_median,
Honduras,Banana_irr_2030y_SOC,cf_median,44.159023
Hong Kong,Banana_irr_2030y_SOC,cf_median,33.15541
Howland Island,Banana_irr_2030y_SOC,cf_median,
Hungary,Banana_irr_2030y_SOC,cf_median,
Iceland,Banana_irr_2030y_SOC,cf_median,
Ilemi triangle,Banana_irr_2030y_SOC,cf_median,
India,Banana_irr_2030y_SOC,cf_median,28.038273
Indonesia,Banana_irr_2030y_SOC,cf_median,47.5293
Iran  (Islamic Republic of),Banana_irr_2030y_SOC,cf_median,8.275274
Iraq,Banana_irr_2030y_SOC,cf_median,18.718723
Ireland,Banana_irr_2030y_SOC,cf_median,
Isle of Man,Banana_irr_2030y_SOC,cf_median,
Israel,Banana_irr_2030y_SOC,cf_median,25.408655
Italy,Banana_irr_2030y_SOC,cf_median,69.786255
Jamaica,Banana_irr_2030y_SOC,cf_median,83.740166
Jammu and Kashmir,Banana_irr_2030y_SOC,cf_median,17.196304
Japan,Banana_irr_2030y_SOC,cf_median,74.04528
Jarvis Island,Banana_irr_2030y_SOC,cf_median,
Jersey,Banana_irr_2030y_SOC,cf_median,
Johnston Atoll,Banana_irr_2030y_SOC,cf_median,
Jordan,Banana_irr_2030y_SOC,cf_median,22.417921
Juan de Nova Island,Banana_irr_2030y_SOC,cf_median,
Kazakhstan,Banana_irr_2030y_SOC,cf_median,
Kenya,Banana_irr_2030y_SOC,cf_median,21.335573
Kingman Reef,Banana_irr_2030y_SOC,cf_median,
