ECO_ID,flow_name,metric,value,ECO_NAME,BIOME_NUM,BIOME_NAME,REALM
182,Apple_irr_2030y_SOC,cf_mean,19.388798,Brigalow tropical savanna,7.0,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Australasia
349,Apple_irr_2030y_SOC,cf_mean,,British Columbia coastal conifer forests,5.0,Temperate Conifer Forests,Nearctic
411,Apple_irr_2030y_SOC,cf_mean,,Brooks-British Range tundra,11.0,Tundra,Nearctic
138,Apple_irr_2030y_SOC,cf_mean,,Buru rain forests,1.0,Tropical & Subtropical Moist Broadleaf Forests,Australasia
525,Apple_irr_2030y_SOC,cf_mean,19.444666,Caatinga,2.0,Tropical & Subtropical Dry Broadleaf Forests,Neotropic
445,Apple_irr_2030y_SOC,cf_mean,20.621355,Caatinga Enclaves moist forests,1.0,Tropical & Subtropical Moist Broadleaf Forests,Neotropic
691,Apple_irr_2030y_SOC,cf_mean,,Caledon conifer forests,5.0,Temperate Conifer Forests,Palearctic
385,Apple_irr_2030y_SOC,cf_mean,30.01341,California Central Valley grasslands,8.0,"Temperate Grasslands, Savannas & Shrublands",Nearctic
422,Apple_irr_2030y_SOC,cf_mean,33.04025,California coastal sage and chaparral,12.0,"Mediterranean Forests, Woodlands & Scrub",Nearctic
423,Apple_irr_2030y_SOC,cf_mean,36.784225,California interior chaparral and woodlands,12.0,"Mediterranean Forests, Woodlands & Scrub",Nearctic
424,Apple_irr_2030y_SOC,cf_mean,32.801365,California montane chaparral and woodlands,12.0,"Mediterranean Forests, Woodlands & Scrub",Nearctic
2,Apple_irr_2030y_SOC,cf_mean,,Cameroon Highlands forests,1.0,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic
566,Apple_irr_2030y_SOC,cf_mean,35.166878,Campos Rupestres montane savanna,7.0,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Neotropic
386,Apple_irr_2030y_SOC,cf_mean,,Canadian Aspen forests and parklands,8.0,"Temperate Grasslands, Savannas & Shrublands",Nearctic
413,Apple_irr_2030y_SOC,cf_mean,,Canadian Low Arctic tundra,11.0,Tundra,Nearctic
787,Apple_irr_2030y_SOC,cf_mean,65.53757,Canary Islands dry woodlands and forests,12.0,"Mediterranean Forests, Woodlands & Scrub",Palearctic
