flow,level,n_regions,mean_leaf,median_leaf,std_leaf,p10,p90,max_leaf,mean_within_std,cv,flow_label
Coconuts|irr|na|ct,subcountry,1046,38.546635202141495,24.816836000000002,39.90596010638618,5.44109575,90.66014,322.6911,26.77894400255258,1.0352644244333205,Coconuts (irrigated)
Coconuts|irr|na|ct,ecoregion,362,40.33698261151934,24.4018985,41.477189366453054,5.99794911,95.66128950000005,282.28604,33.89672728358287,1.0282670314216338,Coconuts (irrigated)
Coconuts|rf|na|ct,country,84,45.62474595357143,30.589365,50.206632572234206,8.185795400000002,89.85074080000001,321.12384,35.18238802380953,1.1004254713730437,Coconuts (rainfed)
Coconuts|rf|na|ct,subcountry,953,43.643387882056665,29.640463,42.013167071985826,7.46223276,104.47529200000002,321.12384,29.091085794846798,0.9626467859352166,Coconuts (rainfed)
Coconuts|rf|na|ct,ecoregion,329,46.77397978966565,34.01795,43.69076329056686,8.622509800000001,103.91856599999998,282.28604,37.777452535531914,0.9340826563622879,Coconuts (rainfed)
Coffee|irr|na|ct,country,112,72.2112730294643,41.035423,84.04490482441614,7.219628500000001,168.91418800000005,443.9799,56.108529045357145,1.1638751305509234,Coffee (irrigated)
Coffee|irr|na|ct,subcountry,1343,67.80961983864482,36.53757,81.3274704498525,7.7956818,170.543082,574.26624,44.816826336154875,1.1993500427133177,Coffee (irrigated)
Coffee|irr|na|ct,ecoregion,438,74.86761584623288,38.8478415,79.44476555339456,7.73898555,203.739136,376.3814,55.54158313422374,1.0611365762810248,Coffee (irrigated)
Coffee|rf|na|ct,country,97,88.35354767113402,59.361233,85.84835281339073,17.87679,184.29987200000005,443.9799,66.9698205514433,0.9716457921184102,Coffee (rainfed)
Coffee|rf|na|ct,subcountry,1218,78.288355695156,48.9067,85.02329643822512,10.717144600000001,180.14506899999995,608.21326,50.10891389745484,1.0860273623486747,Coffee (rainfed)
Coffee|rf|na|ct,ecoregion,391,88.28156114424552,61.77217,79.80345759321294,13.778472,213.9022,376.3814,63.26586757278773,0.9039651832030928,Coffee (rainfed)
Cotton|irr|na|ct,country,163,87.26439657355827,33.022655,137.6055616972022,5.01243374,225.35140000000013,762.98724,64.30646342570552,1.5768809170783593,Cotton (irrigated)
Cotton|irr|na|ct,subcountry,2256,76.25709708958058,28.3997805,118.15433492783467,2.77209355,220.21744999999999,762.98724,45.34832360237899,1.549420833434515,Cotton (irrigated)
Cotton|irr|na|ct,ecoregion,613,87.69271229660686,35.389282,119.43829848076817,3.1443262800000005,255.99254800000048,762.98724,66.74012502245024,1.3620094002428256,Cotton (irrigated)
Cotton|irr|na|rt,country,163,30.54253846723926,11.55793,48.16194631281284,1.7543518399999998,78.87298800000003,267.04553,22.50726186739264,1.5768809250898586,"Cotton (irrigated, reduced till.)"
Cotton|irr|na|rt,subcountry,2256,26.689983665822105,9.939923,41.35401663092211,0.970232715,77.07611,267.04553,15.87191306531813,1.5494208295030938,"Cotton (irrigated, reduced till.)"
Cotton|irr|na|rt,ecoregion,613,30.692448875169656,12.386249,41.80340386159241,1.1005142,89.59738720000017,267.04553,23.35904344934747,1.3620093994979843,"Cotton (irrigated, reduced till.)"
Cotton|rf|na|ct,country,159,92.47680816415094,36.354008,142.52431610114994,6.5053231600000005,234.475508,796.8275,67.25438785220126,1.5411898283530956,Cotton (rainfed)
Cotton|rf|na|ct,subcountry,2120,81.99662375867453,32.341415999999995,123.38136554850941,4.160965640000001,232.78351400000003,796.8275,48.23860524076359,1.5047127539255143,Cotton (rainfed)
Cotton|rf|na|ct,ecoregion,584,92.9570710289726,41.849249,122.72222794621551,5.19032344,260.26612000000017,796.8275,70.76822778000925,1.3202032571353908,Cotton (rainfed)
Cotton|rf|na|rt,country,159,32.366882225597486,12.723903,49.88350940216686,2.27686302,82.06643,278.88962,23.539035097408803,1.5411898203379093,"Cotton (rainfed, reduced till.)"
Cotton|rf|na|rt,subcountry,2120,28.69881785033019,11.3194955,43.18347702526494,1.45633789,81.474234,278.88962,16.88351152223665,1.5047127463742587,"Cotton (rainfed, reduced till.)"
Cotton|rf|na|rt,ecoregion,584,32.534974248202055,14.6472365,42.95277877252201,1.8166132000000002,91.09313100000006,278.88962,24.768879019029796,1.3202032509644805,"Cotton (rainfed, reduced till.)"
Grapes|irr|na|ct,country,106,89.00817329679245,52.9724005,117.37008884654824,7.381975,215.80880000000002,826.6435,73.51160224471698,1.3186439458226458,Grapes (irrigated)
Grapes|irr|na|ct,subcountry,1332,88.15598209156155,38.9063235,111.31789779052755,4.833539200000001,250.874539,826.6435,59.07053296582657,1.2627378783541803,Grapes (irrigated)
Grapes|irr|na|ct,ecoregion,474,86.84099025890295,41.8827245,100.84037843806516,6.0192451,227.594712,559.8123,68.23958670872364,1.1612071458124233,Grapes (irrigated)
Grapes|rf|na|ct,country,106,88.55403261849057,52.9724025,116.74170517832292,7.3819716500000006,212.96322,826.66797,74.27473480886793,1.318310434051838,Grapes (rainfed)
Grapes|rf|na|ct,subcountry,1332,88.12942074077327,38.9063235,111.26628849939446,4.833539200000001,250.76918400000002,826.66797,59.14578887656456,1.2625328473073336,Grapes (rainfed)
Grapes|rf|na|ct,ecoregion,474,86.86618899630801,42.3387245,100.83079015656232,6.0192451,227.59488599999997,559.82385,68.27039761443038,1.1607599150095997,Grapes (rainfed)
Grassland,country,167,1.5596614029880238,0.7065275,2.0875906380873155,0.09742881,3.7121679000000007,15.355843,1.3448395054526947,1.3384896453088322,Grassland
Grassland,subcountry,2422,1.6879438239649462,0.6332658,2.6392575092595214,0.05825691630000001,4.836439300000001,15.355843,0.97847611900801,1.5635932142930908,Grassland
Grassland,ecoregion,719,1.9052472576004174,0.8688057,2.5649488896927273,0.08710581279999999,5.279760640000002,15.355843,1.4256472932737554,1.3462551274962482,Grassland
Groundnuts|irr|na|ct,country,175,84.27014657708573,30.856035,130.40048883015146,3.6461928800000014,237.15107199999997,742.052,62.023080458742854,1.5474102529401468,Groundnuts (irrigated)
Groundnuts|irr|na|ct,subcountry,2481,72.94925165797585,25.301674,112.66216866265252,2.3910363,216.71011,787.86847,46.19610084605784,1.5443910129588654,Groundnuts (irrigated)
Groundnuts|irr|na|ct,ecoregion,671,86.90649846579731,32.86217,117.26925404360087,2.482119,268.49872,782.3175,65.33477637174813,1.3493726719383712,Groundnuts (irrigated)
Groundnuts|rf|na|ct,country,169,88.86361733053253,37.447186,133.20748946574804,5.4824037400000005,243.23204,772.4117,65.44125197544379,1.4990104326979659,Groundnuts (rainfed)
Groundnuts|rf|na|ct,subcountry,2332,78.6576005741338,29.4876535,116.81479323002928,3.6920439300000005,231.91569100000004,824.45404,49.65869068485249,1.4851049660475317,Groundnuts (rainfed)
Groundnuts|rf|na|ct,ecoregion,633,93.6326217013902,37.854,120.1163474139941,5.3574411,274.4312680000001,782.3175,69.97564534120063,1.2828472089253768,Groundnuts (rainfed)
