filename;filepath;crop_code;tech_code;technology;irrigation_practice;crop_name
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TEF.HRLM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TEF.HRLM.tif;TEF;HRLM;high_input_rainfed;rf;Tef
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TEF.LILM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TEF.LILM.tif;TEF;LILM;low_input_irrigated;irr;Tef
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TEF.LRLM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TEF.LRLM.tif;TEF;LRLM;low_input_rainfed;rf;Tef
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TOB.HILM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TOB.HILM.tif;TOB;HILM;high_input_irrigated;irr;Tobacco
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TOB.HRLM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TOB.HRLM.tif;TOB;HRLM;high_input_rainfed;rf;Tobacco
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TOB.LILM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TOB.LILM.tif;TOB;LILM;low_input_irrigated;irr;Tobacco
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TOB.LRLM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TOB.LRLM.tif;TOB;LRLM;low_input_rainfed;rf;Tobacco
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TOM.HILM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TOM.HILM.tif;TOM;HILM;high_input_irrigated;irr;Tomato
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TOM.HRLM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TOM.HRLM.tif;TOM;HRLM;high_input_rainfed;rf;Tomato
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TOM.LILM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TOM.LILM.tif;TOM;LILM;low_input_irrigated;irr;Tomato
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TOM.LRLM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TOM.LRLM.tif;TOM;LRLM;low_input_rainfed;rf;Tomato
