file_name,file_path,suffix,SPAM_Crop,Crop,Technology_Suffix,Technology
spam2020_V2r0_global_Y_OOIL_I.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_OOIL_I.tif",.tif,OOIL,Other Oil Crops,I,Irrigated
spam2020_V2r0_global_Y_OOIL_R.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_OOIL_R.tif",.tif,OOIL,Other Oil Crops,R,Rainfed
spam2020_V2r0_global_Y_OPUL_A.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_OPUL_A.tif",.tif,OPUL,Other Pulses,A,All
spam2020_V2r0_global_Y_OPUL_I.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_OPUL_I.tif",.tif,OPUL,Other Pulses,I,Irrigated
spam2020_V2r0_global_Y_OPUL_R.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_OPUL_R.tif",.tif,OPUL,Other Pulses,R,Rainfed
spam2020_V2r0_global_Y_ORTS_A.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_ORTS_A.tif",.tif,ORTS,Other Roots,A,All
spam2020_V2r0_global_Y_ORTS_I.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_ORTS_I.tif",.tif,ORTS,Other Roots,I,Irrigated
spam2020_V2r0_global_Y_ORTS_R.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_ORTS_R.tif",.tif,ORTS,Other Roots,R,Rainfed
spam2020_V2r0_global_Y_PIGE_A.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_PIGE_A.tif",.tif,PIGE,Pigeon Pea,A,All
spam2020_V2r0_global_Y_PIGE_I.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_PIGE_I.tif",.tif,PIGE,Pigeon Pea,I,Irrigated
spam2020_V2r0_global_Y_PIGE_R.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_PIGE_R.tif",.tif,PIGE,Pigeon Pea,R,Rainfed
spam2020_V2r0_global_Y_PLNT_A.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_PLNT_A.tif",.tif,PLNT,Plantain,A,All
spam2020_V2r0_global_Y_PLNT_I.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_PLNT_I.tif",.tif,PLNT,Plantain,I,Irrigated
spam2020_V2r0_global_Y_PLNT_R.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_PLNT_R.tif",.tif,PLNT,Plantain,R,Rainfed
spam2020_V2r0_global_Y_PMIL_A.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_PMIL_A.tif",.tif,PMIL,Pearl Millet,A,All
spam2020_V2r0_global_Y_PMIL_I.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_PMIL_I.tif",.tif,PMIL,Pearl Millet,I,Irrigated
spam2020_V2r0_global_Y_PMIL_R.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_PMIL_R.tif",.tif,PMIL,Pearl Millet,R,Rainfed
