ECO ID,Ecoregion name,Threshold,Ecoregion baseline,Target (10% above threshold),Threshold exceedance,Difference between baseline and target,Threshold met or exceeded? (Y/N)
471,Isthmian-Pacific moist forests,70.0,58.9,77.0,11.1,18.1,Y
472,Jamaican moist forests,52.4,74.6,57.6,-22.2,-17.0,N
473,Japurá-Solimões-Negro moist forests,63.0,53.7,69.3,9.3,15.6,Y
474,Juruá-Purus moist forests,55.2,53.8,60.7,1.4,6.9,Y
475,Leeward Islands moist forests,54.1,NA,59.5,54.1,59.5,Y
476,Madeira-Tapajós moist forests,55.0,45.4,60.5,9.6,15.1,Y
477,Magdalena Valley montane forests,52.6,90.8,57.9,-38.2,-32.9,N
478,Magdalena-Urabá moist forests,44.6,53.9,49.1,-9.3,-4.8,N
479,Marañón dry forests,55.0,68.6,60.5,-13.6,-8.1,N
480,Marajó várzea,53.1,49.5,58.4,3.6,8.9,Y
481,Mato Grosso tropical dry forests,55.0,48.0,60.5,7.0,12.5,Y
482,Monte Alegre várzea,51.6,47.5,56.8,4.1,9.3,Y
483,Napo moist forests,59.0,57.7,64.9,1.3,7.2,Y
484,Negro-Branco moist forests,55.9,46.6,61.5,9.3,14.9,Y
485,Northeast Brazil restingas,45.8,36.6,50.4,9.2,13.8,Y
486,Northwest Andean montane forests,115.0,90.8,126.5,24.2,35.7,Y
487,Oaxacan montane forests,72.0,83.7,79.2,-11.7,-4.5,N
488,Orinoco Delta swamp forests,72.0,63.7,79.2,8.3,15.5,Y
489,Pantanos de Centla,69.0,56.6,75.9,12.4,19.3,Y
490,Pantepui forests & shrublands,89.0,71.6,97.9,17.4,26.3,Y
491,Pernambuco coastal forests,58.5,46.4,64.4,12.1,18.0,Y
492,Pernambuco interior forests,50.8,41.9,55.9,8.9,14.0,Y
493,Peruvian Yungas,66.0,76.9,72.6,-10.9,-4.3,N
494,Petén-Veracruz moist forests,59.6,62.7,65.6,-3.1,2.9,Y
495,Puerto Rican moist forests,53.6,73.3,59.0,-19.7,-14.3,N
496,Purus várzea,52.6,52.9,57.9,-0.3,5.0,Y
497,Purus-Madeira moist forests,54.1,46.6,59.5,7.5,12.9,Y
498,Rio Negro campinarana,44.7,50.2,49.2,-5.5,-1.0,N
499,Santa Marta montane forests,68.0,69.9,74.8,-1.9,4.9,Y
500,Serra do Mar coastal forests,54.2,64.5,59.6,-10.3,-4.9,N
501,Sierra de los Tuxtlas,68.0,62.8,74.8,5.2,12.0,Y
502,Sierra Madre de Chiapas moist forests,66.0,61.0,72.6,5.0,11.6,Y
503,Solimões-Japurá moist forests,57.0,55.0,62.7,2.0,7.7,Y
504,Southern Andean Yungas,54.1,59.4,59.5,-5.3,0.1,Y
505,Southwest Amazon moist forests,41.2,46.4,45.3,-5.2,-1.1,N
506,Talamancan montane forests,52.8,92.8,58.1,-40.0,-34.7,N
507,Tapajós-Xingu moist forests,56.0,46.1,61.6,9.9,15.5,Y
508,Tocantins/Pindare moist forests,51.0,42.9,56.1,8.1,13.2,Y
509,Trindade-Martin Vaz Islands tropical forests,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!
510,Trinidad and Tobago moist forest,69.0,64.8,75.9,4.2,11.1,Y
511,Uatumí-Trombetas moist forests,52.0,45.2,57.2,6.8,12.0,Y
512,Ucayali moist forests,50.7,61.0,55.8,-10.3,-5.2,N
513,Venezuelan Andes montane forests,58.3,68.8,64.1,-10.5,-4.7,N
514,Veracruz moist forests,47.8,58.4,52.6,-10.6,-5.8,N
515,Veracruz montane forests,51.1,76.5,56.2,-25.4,-20.3,N
516,Western Ecuador moist forests,53.3,59.9,58.6,-6.6,-1.3,N
517,Windward Islands moist forests,54.0,73.5,59.4,-19.5,-14.1,N
518,Xingu-Tocantins-Araguaia moist forests,60.0,47.2,66.0,12.8,18.8,Y
519,Yucatán moist forests,53.8,76.6,59.2,-22.8,-17.4,N
520,Apure-Villavicencio dry forests,59.1,50.9,65.0,8.2,14.1,Y
521,Bajío dry forests,60.8,44.0,66.9,16.8,22.9,Y
522,Balsas dry forests,59.9,43.8,65.9,16.1,22.1,Y
523,Bolivian montane dry forests,57.4,53.7,63.1,3.7,9.4,Y
524,Brazilian Atlantic dry forests,61.0,37.9,67.1,23.1,29.2,Y
525,Caatinga,61.1,29.6,67.2,31.5,37.6,Y
526,Cauca Valley dry forests,54.0,70.3,59.4,-16.3,-10.9,N
527,Central American dry forests,56.8,58.5,62.5,-1.7,4.0,Y
528,Chiapas Depression dry forests,59.0,50.1,64.9,8.9,14.8,Y
529,Chiquitano dry forests,57.7,43.5,63.5,14.2,20.0,Y
530,Cuban dry forests,58.4,61.6,64.3,-3.2,2.7,Y
531,Ecuadorian dry forests,54.8,50.1,60.3,4.7,10.2,Y
532,Hispaniolan dry forests,62.1,57.5,68.3,4.6,10.8,Y
533,Islas Revillagigedo dry forests,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!
534,Jalisco dry forests,57.1,46.5,62.8,10.6,16.3,Y
535,Jamaican dry forests,58.4,64.9,64.2,-6.5,-0.7,N
536,Lara-Falcón dry forests,59.9,52.2,65.9,7.7,13.7,Y
537,Lesser Antillean dry forests,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!
538,Magdalena Valley dry forests,68.8,62.1,75.7,6.7,13.6,Y
539,Maracaibo dry forests,60.4,52.3,66.4,8.1,14.1,Y
540,Maranhío Babaçu forests,56.7,33.2,62.4,23.5,29.2,Y
541,Panamanian dry forests,59.4,52.4,65.3,7.0,12.9,Y
542,Patía valley dry forests,53.2,69.0,58.5,-15.8,-10.5,N
543,Puerto Rican dry forests,64.4,59.0,70.8,5.4,11.8,Y
544,Sierra de la Laguna dry forests,61.9,28.2,68.1,33.7,39.9,Y
545,Sinaloan dry forests,59.5,40.9,65.5,18.6,24.6,Y
546,Sinú Valley dry forests,59.4,53.2,65.3,6.2,12.1,Y
547,Southern Pacific dry forests,58.5,43.5,64.4,15.0,20.9,Y
548,Trinidad and Tobago dry forest,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!
549,Tumbes-Piura dry forests,59.8,41.2,65.8,18.6,24.6,Y
550,Veracruz dry forests,56.9,55.3,62.6,1.6,7.3,Y
551,Yucatán dry forests,56.2,86.5,61.8,-30.3,-24.7,N
552,Bahamian pineyards,53.7,67.2,59.1,-13.5,-8.1,N
553,Central American pine-oak forests,52.8,66.1,58.1,-13.3,-8.0,N
554,Cuban pine forests,58.0,61.9,63.8,-3.9,1.9,Y
555,Hispaniolan pine forests,52.9,71.5,58.2,-18.6,-13.3,N
556,Sierra de la Laguna pine-oak forests,57.5,43.0,63.3,14.5,20.3,Y
557,Sierra Madre de Oaxaca pine-oak forests,50.6,63.7,55.7,-13.1,-8.0,N
558,Sierra Madre del Sur pine-oak forests,68.6,55.9,75.4,12.7,19.5,Y
559,Trans-Mexican Volcanic Belt pine-oak forests,54.2,56.8,59.6,-2.6,2.8,Y
560,Juan Fernández Islands temperate forests,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!
561,Magellanic subpolar forests,37.9,113.6,41.7,-75.7,-71.9,N
562,San Félix-San Ambrosio Islands temperate forests,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!
563,Valdivian temperate forests,41.5,107.9,45.7,-66.4,-62.3,N
564,Belizian pine savannas,70.5,62.3,77.5,8.2,15.2,Y
565,Beni savanna,57.5,46.1,63.3,11.4,17.2,Y
566,Campos Rupestres montane savanna,53.7,54.4,59.1,-0.7,4.7,Y
567,Cerrado,58.6,41.6,64.5,17.0,22.9,Y
568,Clipperton Island shrub and grasslands,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!
569,Dry Chaco,60.0,41.1,66.0,18.9,24.9,Y
570,Guianan savanna,56.1,47.8,61.7,8.3,13.9,Y
571,Humid Chaco,61.1,44.9,67.2,16.2,22.3,Y
572,Llanos,60.6,45.9,66.7,14.7,20.8,Y
573,Miskito pine forests,53.8,59.4,59.2,-5.6,-0.2,N
574,Uruguayan savanna,60.4,61.4,66.4,-1.0,5.0,Y
575,Espinal,59.4,40.8,65.3,18.6,24.5,Y
576,Humid Pampas,62.5,59.4,68.8,3.1,9.4,Y
577,Low Monte,54.3,23.6,59.7,30.7,36.1,Y
578,Patagonian steppe,61.0,45.7,67.1,15.3,21.4,Y
579,Cuban wetlands,50.5,64.8,55.6,-14.3,-9.3,N
580,Enriquillo wetlands,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!
581,Everglades flooded grasslands,49.1,70.5,54.0,-21.4,-16.5,N
582,Guayaquil flooded grasslands,49.7,56.1,54.7,-6.4,-1.4,N
583,Orinoco wetlands,54.5,62.1,60.0,-7.6,-2.2,N
584,Pantanal,59.3,39.5,65.2,19.8,25.7,Y
585,Paraná flooded savanna,57.4,61.0,63.1,-3.6,2.1,Y
586,Southern Cone Mesopotamian savanna,62.2,50.0,68.4,12.2,18.4,Y
587,Central Andean dry puna,56.1,31.8,61.7,24.3,29.9,Y
588,Central Andean puna,56.0,41.1,61.6,14.9,20.5,Y
589,Central Andean wet puna,53.3,66.4,58.6,-13.1,-7.8,N
590,Cordillera Central páramo,49.3,88.8,54.2,-39.5,-34.6,N
591,Cordillera de Merida páramo,49.8,83.2,54.8,-33.4,-28.4,N
592,High Monte,59.8,29.6,65.8,30.2,36.2,Y
593,Northern Andean páramo,102.2,97.6,112.4,4.6,14.8,Y
594,Santa Marta páramo,43.4,71.5,47.7,-28.1,-23.8,N
595,Southern Andean steppe,50.7,36.7,55.8,14.0,19.1,Y
596,Chilean Matorral,56.8,50.6,62.5,6.2,11.9,Y
597,Araya and Paria xeric scrub,57.3,51.9,63.0,5.4,11.1,Y
598,Atacama desert,61.0,23.0,67.1,38.0,44.1,Y
599,Caribbean shrublands,59.9,59.8,65.9,0.1,6.1,Y
600,Cuban cactus scrub,59.6,61.4,65.6,-1.8,4.2,Y
601,Galápagos Islands xeric scrub,58.5,36.1,64.4,22.4,28.3,Y
602,Guajira-Barranquilla xeric scrub,62.2,47.5,68.4,14.7,20.9,Y
603,La Costa xeric shrublands,60.6,48.4,66.7,12.2,18.3,Y
604,Malpelo Island xeric scrub,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!
605,Motagua Valley thornscrub,56.7,56.9,62.4,-0.2,5.5,Y
606,Paraguaná xeric scrub,62.8,45.0,69.1,17.8,24.1,Y
607,San Lucan xeric scrub,62.4,20.7,68.6,41.7,47.9,Y
608,Sechura desert,58.5,34.3,64.4,24.2,30.1,Y
609,St. Peter and St. Paul Rocks,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!
610,Tehuacán Valley matorral,57.9,47.3,63.7,10.6,16.4,Y
611,Amazon-Orinoco-Southern Caribbean mangroves,46.1,53.9,50.7,-7.8,-3.2,N
612,Bahamian-Antillean mangroves,44.8,67.7,49.3,-22.9,-18.4,N
613,Mesoamerican Gulf-Caribbean mangroves,46.9,65.7,51.6,-18.8,-14.1,N
614,Northern Mesoamerican Pacific mangroves,51.3,33.6,56.4,17.7,22.8,Y
615,South American Pacific mangroves,43.6,58.9,48.0,-15.3,-10.9,N
616,Southern Atlantic Brazilian mangroves,47.9,57.1,52.7,-9.2,-4.4,N
617,Southern Mesoamerican Pacific mangroves,58.7,56.0,64.6,2.7,8.6,Y
618,Carolines tropical moist forests,41.9,87.7,46.1,-45.8,-41.6,N
619,Central Polynesian tropical moist forests,56.7,54.9,62.4,1.8,#VALUE!,#VALUE!
620,Cook Islands tropical moist forests,52.2,62.7,57.4,-10.5,#VALUE!,#VALUE!
621,Eastern Micronesia tropical moist forests,54.4,66.6,59.9,-12.2,#VALUE!,#VALUE!
622,Fiji tropical moist forests,49.2,64.5,54.1,-15.3,10.4,Y
623,Hawai'i tropical moist forests,50.0,82.9,55.0,-32.9,27.9,Y
624,Kermadec Islands subtropical moist forests,49.0,NA,53.9,#VALUE!,#VALUE!,#VALUE!
